home_team,away_team,home_goals,away_goals,result,season
Arsenal,Leicester City,4.0,3.0,H,2017-2018
Watford,Liverpool,3.0,3.0,D,2017-2018
Chelsea,Burnley,2.0,3.0,A,2017-2018
Crystal Palace,Huddersfield Town,0.0,3.0,A,2017-2018
Everton,Stoke City,1.0,0.0,H,2017-2018
Southampton,Swansea City,0.0,0.0,D,2017-2018
West Bromwich Albion,AFC Bournemouth,1.0,0.0,H,2017-2018
Brighton and Hove Albion,Manchester City,0.0,2.0,A,2017-2018
Newcastle United,Tottenham Hotspur,0.0,2.0,A,2017-2018
Manchester United,West Ham United,4.0,0.0,H,2017-2018
Swansea City,Manchester United,0.0,4.0,A,2017-2018
AFC Bournemouth,Watford,0.0,2.0,A,2017-2018
Burnley,West Bromwich Albion,0.0,1.0,A,2017-2018
Leicester City,Brighton and Hove Albion,2.0,0.0,H,2017-2018
Liverpool,Crystal Palace,1.0,0.0,H,2017-2018
Southampton,West Ham United,3.0,2.0,H,2017-2018
Stoke City,Arsenal,1.0,0.0,H,2017-2018
Huddersfield Town,Newcastle United,1.0,0.0,H,2017-2018
Tottenham Hotspur,Chelsea,1.0,2.0,A,2017-2018
Manchester City,Everton,1.0,1.0,D,2017-2018
AFC Bournemouth,Manchester City,1.0,2.0,A,2017-2018
Crystal Palace,Swansea City,0.0,2.0,A,2017-2018
Huddersfield Town,Southampton,0.0,0.0,D,2017-2018
Newcastle United,West Ham United,3.0,0.0,H,2017-2018
Watford,Brighton and Hove Albion,0.0,0.0,D,2017-2018
Manchester United,Leicester City,2.0,0.0,H,2017-2018
Chelsea,Everton,2.0,0.0,H,2017-2018
West Bromwich Albion,Stoke City,1.0,1.0,D,2017-2018
Liverpool,Arsenal,4.0,0.0,H,2017-2018
Tottenham Hotspur,Burnley,1.0,1.0,D,2017-2018
Manchester City,Liverpool,5.0,0.0,H,2017-2018
Arsenal,AFC Bournemouth,3.0,0.0,H,2017-2018
Brighton and Hove Albion,West Bromwich Albion,3.0,1.0,H,2017-2018
Everton,Tottenham Hotspur,0.0,3.0,A,2017-2018
Leicester City,Chelsea,1.0,2.0,A,2017-2018
Southampton,Watford,0.0,2.0,A,2017-2018
Stoke City,Manchester United,2.0,2.0,D,2017-2018
Burnley,Crystal Palace,1.0,0.0,H,2017-2018
Swansea City,Newcastle United,0.0,1.0,A,2017-2018
West Ham United,Huddersfield Town,2.0,0.0,H,2017-2018
AFC Bournemouth,Brighton and Hove Albion,2.0,1.0,H,2017-2018
